topic,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
Energiewende,0.06249070388962177,0.9577281627509727,-0.11167845837475711,0.8498603058683346,27.0
Gesundheit,-1.5425343708379744,1.1814730276657128,-0.8061996140986291,1.0,2.0
Klimaextreme,-0.13801854763133964,0.7813371554335754,-0.6117514082660154,0.19913012722525855,4.0
Klimawandel,-0.016203768013589054,0.9022604630083211,0.09906102827319024,0.9799021428220076,55.0
Landwirtschaft,0.17622967048511015,0.6694815993152029,-0.13211730692617368,0.838809449152462,4.0
Oekologie,0.7071067811865475,1.1102230246251565e-16,0.7071067811865475,2.7194799110210365e-16,2.0
Verkehrswende,0.1529122775176405,0.8743547123299211,-0.09584132362647327,1.0434285972065478,5.0
