day,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2026-07-28,-1.2739471961148003,0.8016334024927279,-0.6486904524193355,1.0,2.0
2026-07-29,0.6963330107496388,0.9289347278087954,0.09613177217569552,0.5954660353248709,4.0
2026-07-31,0.7864016207723389,1.0,1.4448034429726078,1.0,1.0
2026-08-02,1.1137997253450431,1.0,-0.5773502691896256,1.0,1.0
2026-08-03,0.8812715922458225,0.24630623788817435,0.31355129778947344,0.6816580928410618,3.0
2026-08-04,-0.10965428115910575,0.21496027616765953,0.1389006073664145,0.866149629258768,2.0
2026-08-05,-0.10999137753810559,1.2004621121188344,-0.23554299874022155,0.6723248439914182,4.0
2026-08-06,-0.8495484777513637,0.6767941401977267,0.31541068118399596,1.1100490179280071,4.0
2026-08-07,0.44532085544286787,1.390564714977729,-0.6662791178506106,0.3200076409665972,4.0
2026-08-10,-0.3013747458675149,0.48609395754276413,0.45579734986899084,0.8139842756620854,2.0
2026-08-12,0.016710655146698117,0.7113464835614701,-0.6486904524193355,0.0,3.0
2026-08-13,-0.17903238853096598,0.9465762063703064,0.1519409697037058,1.2998069709221665,5.0
2026-08-14,0.1426086978420015,1.235933941279706,-0.04938258859475884,1.090356873717451,5.0
2026-08-15,-0.7071067811865476,1.0,-0.7071067811865476,1.0,1.0
2026-08-17,-0.033377564076709006,0.13115634636799262,1.4965785351955663,1.8632929780891903,3.0
2026-08-18,-0.7701619617343366,0.9255639158557436,-0.04937061992415274,0.7887644140238858,5.0
2026-08-19,0.31666063240330344,1.0,-0.7820497255653334,1.0,1.0
2026-08-20,-0.0420490905065671,0.5063014279352158,0.6990946714668063,1.0130271493355267,6.0
2026-08-23,-0.3793609266586688,1.0,1.1547005383792515,1.0,1.0
2026-08-24,1.3700696561130552,0.5912242294604565,-0.18893725514174972,0.4473477438933687,3.0
2026-08-26,-0.5037885383072795,1.0,-0.037430141009653015,1.0,1.0
2026-08-27,-0.13037195636748483,0.5227887287412563,-0.5564584217209614,0.12316945480353622,9.0
2026-08-28,1.009872689254769,1.368289948834105,-0.561125060712005,0.12383616454701939,2.0
2026-08-30,0.18417700170180307,0.8255957491175158,0.16813244387455273,1.4050850111796873,5.0
2026-08-31,-0.255629446607538,0.6580936040651675,-0.10272697020338328,0.8610971434359627,11.0
2026-09-01,1.9660040519308473,1.0,-0.5315080023370733,1.0,1.0
2026-09-04,-0.18482386783968566,1.0,-0.47355966900467444,1.0,1.0
