,summary,Urbane_Hitzeinsel,Klimawandel,Tipping_Points,Oekologie,Energiewende,Landwirtschaft,Waermewende,Klimaextreme,Gesundheit,Wasserversorgung,Industrie,Geo_Engineering,Verkehrswende,word
Informationen,32.274929956655,-0.2589504614938452,-1.9892704635337005e-06,-0.18656808545887335,-0.22815099527145677,0.7561127222396116,-0.2445075005963611,0.0,-0.22807132907977026,-0.24180896877941177,-0.22807132907977026,-0.25729260046557434,-0.26165650016834036,0.0,Informationen
sie information+en,32.274929956655,-0.2589504614938452,-1.9892704635337005e-06,-0.18656808545887335,-0.22815099527145677,0.7561127222396116,-0.2445075005963611,0.0,-0.22807132907977026,-0.24180896877941177,-0.22807132907977026,-0.25729260046557434,-0.26165650016834036,0.0,sie information+en
Thema,60.792978328351076,-0.30811962042732416,0.10268415213560092,-0.18702544172806604,-0.2558159728092425,0.5693364610322859,-0.27244758087034204,0.0,-0.25573528094638776,-0.2696856011627207,-0.25573528094638776,-0.2853412322438969,-0.3108699643998371,0.0,Thema
information+en thema,40.35158438159731,-0.32350833226464576,-0.01999128310744681,-0.23734789663814773,-0.28668585481822617,0.9003203074896352,-0.3031468269897131,0.0,-0.28660579906126166,-0.3004242053883197,-0.28660579906126166,-0.3159731362734307,-0.3262310877276351,0.0,information+en thema
thema energie+wende,14.496328820167378,-1.3853697830177512,-2.040962524935812,-1.5145264903683178,-1.4373452318923372,2.194462933318624,-1.440600045114709,0.0,-1.43731506412585,-1.4408927443287864,-1.43731506412585,-1.4483088481831048,-1.3860920106582406,0.0,thema energie+wende
Lesen,39.56215316553599,-0.28378224465597773,0.025159616195535455,-0.1959157217146848,-0.24621070176381463,0.7388215163866109,-0.2626828527688152,0.0,-0.24613060432574627,-0.2599576530887892,-0.24613060432574627,-0.27551357263997645,-0.28650679535290036,0.0,Lesen
les+en sie,38.42471170287346,-0.2681914188869992,0.03706510485044908,-0.1814846141932062,-0.23112913377204938,0.6807375244029791,-0.24759372456582912,0.0,-0.23104906452266427,-0.24487026843830348,-0.23104906452266427,-0.26042146155228846,-0.2709147553224501,0.0,les+en sie
sie bund,3.744428493660658,-0.031743350623738634,-0.6873360925417997,-0.16090005797430534,-0.08371879949832488,1.2942579721048988,-0.0869736127206963,0.0,-0.08368863173183762,-0.08726631193477409,-0.08368863173183762,-0.09468241578909234,-0.03246557826422822,0.0,sie bund
Der,190.78497356895488,-0.32625839166396253,0.2956403752612099,-0.1289547467199882,-0.23913259826033026,-0.4957559310944793,-0.2522010225484014,0.0,-0.23905140375891418,-0.227902665029454,-0.23905140375891418,-0.2105210366865603,-0.32903105897916857,0.0,Der
Bund,7.80613173179194,0.027736436286223604,-0.12380767073337012,-0.008025135937426495,0.01288218702861848,0.39100943331554466,-0.0006726314724107745,0.0,0.012951372895259813,0.0013813791341137254,0.012951372895259813,-0.012357303109162047,0.025465043065415995,0.0,Bund
