domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.zeit.de,-0.004722222222222223,0.11151627517824304,0.07722222222222223,0.11904325388822459,15.0
www.tagesspiegel.de,-0.07458333333333332,0.23553080396284606,0.0880952380952381,0.11264659421951108,14.0
www.golem.de,0.07838010204081633,0.10846417695831019,0.027210884353741496,0.057460307823369354,14.0
www.faz.net,0.06666666666666665,0.2712778403531454,0.10757575757575757,0.2023972491528639,11.0
www.sueddeutsche.de,0.0426666666666667,0.3683552029706593,0.02,0.0447213595499958,5.0
www.n-tv.de,0.05342857142857142,0.2059512524053858,0.02857142857142857,0.06388765649999399,5.0
www.nzz.ch,-0.08333333333333333,0.20308002510990456,0.1952380952380952,0.09072647087265547,3.0
www.bild.de,0.11761904761904762,0.2708502611141039,0.07142857142857142,0.12371791482634836,3.0
www.tagesschau.de,-0.08511904761904761,0.15219831875317322,0.09523809523809523,0.1649572197684645,3.0
www.dw.com,-0.031111111111111128,0.3197452689830407,0.24444444444444446,0.2143033502442879,3.0
www.spektrum.de,0.27999999999999997,0.1979898987322333,0.0,0.0,2.0
orf.at,0.0,0.0,0.125,0.1767766952966369,2.0
taz.de,-0.08333333333333333,0.11785113019775792,0.16666666666666666,0.0,2.0
www.freitag.de,0.035714285714285726,0.23233508524700847,0.13571428571428573,0.09091372900969899,2.0
www.diepresse.com,-0.17500000000000002,0.0636396103067893,0.13333333333333333,0.09428090415820635,2.0
www.morgenpost.de,0.0875,0.12374368670764581,0.0,0.0,2.0
www.prnewswire.com,0.0,1.0,0.0,1.0,1.0
www.derstandard.at,0.0,1.0,0.0,1.0,1.0
